abase	làm mất thể diện
vernal	thuộc về mùa xuân
versatile	linh hoạt
version	phiên bản
vertex	đỉnh đầu
vertical	theo chiều dọc
vertigo	sự chóng mặt
vestige	vết tích
vestment	lớp tô ở ngoài
veto	phủ quyết
vicarious	do người khác làm
viceroy	phó vương
vicissitude	cuộc thăng trầm
vie	vie
vigilance	cảnh giác
vigilant	cẩn thận
vignette	in màu
vincible	có thể vượt qua
vindicate	binh vực
vindicatory	để biện hộ
vindicative	để bào chừa
vinery	vinery
viol	một thứ vĩ cầm
viola	cây tử la lan
violator	người vi phạm
violation	sự vi phạm
violoncello	đàn vi ô lông xen
virago	người đàn bà hay gắt gỏng
virile	dương vật
virtu	thích đồ cổ
virtual	ảo
virtuoso	đồ mỹ thuật
virulence	tính độc
virulent	hiểm độc
visage	mặt
viscount	tử tước
vista	vista
visual	trực quan
visualize	hình dung
vitality	sức sống
vitalize	Vitalize
vitiate	làm hỏng
vituperable	vituperable
vivacity	sự nhanh nhẩu
vivify	làm linh động
vivisection	thuật giải phẩu sinh thể
vocable	danh từ
vocative	xưng hô
vociferance	vociferance
vociferate	la lối om sòm
vociferous	la lối om sòm
vogue	vogue
volant	bay
volatile	bay hơi
volition	ý
volitive	volitive
voluble	ăn nói hoạt bát
voluptuous	khiêu dâm
voracious	tham ăn
vortex	xoáy nước
votary	người hâm mộ
votive	do phát thệ
vulgarity	tánh thường
vulnerable	dễ bị tổn thương
waif	không nhà không cửa
waistcoat	áo nịt
waive	từ bỏ
wampum	chuổi làm bằng vỏ sò
wane	tuần trăng khuyết
wantonness	sự đùa cợt
warlike	hùng dũng
wavelet	lằn gợn lăn tăn
weak-kneed	nhu nhược
weal	hạnh phúc
wean	cai sữa
wearisome	mệt mỏi
wee	rất nhỏ
well-bred	có giáo dục
well-doer	người có đức hạnh
well-to-do	thời gian tốt
whereabouts	nơi
whereupon	trên ấy
wherever	bất cứ nơi nào
wherewith	bằng vật gì
whet	mài
whimsical	hay thay đổi
whine	tiếng rên rỉ
wholly	hoàn toàn
wield	vận dụng
wile	mưu chước
winsome	hấp dẫn
wintry	như mùa đông
wiry	tiếng sang sảng
witchcraft	ma thuật
witless	Witless
witling	witling
witticism	witticism
wittingly	ý nhị
wizen	nhăn nheo
wizen-faced	nhăn nheo có khuôn mặt
working-man	lao động con người
workmanlike	như người thợ
workmanship	khéo léo
wrangle	học sinh đậu hạng nhứt
wreak	làm cho hả
wrest	Wrest
wretchedness	khốn
writhe	sự vặn vẹo
writing	viết
wry	bị vặn
yearling	thời gian một năm
zealot	người có nhiệt tình
zeitgeist	chiều hướng suy nghĩ
zenith	thiên đình
zephyr	một thứ vải mỏng
zodiac	hoàng đạo
